Sr no.,Stock Name,Entry Price,Exit Price,Qty,P&L,Entry Date,Exit Date,Exit Reason
1,ARE&M,16.16,20.27,3094,12700.87,01 February 2001,01 March 2001,Rebalance(F)
2,EIHOTEL,24.62,24.63,2030,20.30,01 February 2001,01 March 2001,Rebalance(F)
3,AXISBANK,8.67,7.39,5767,-7381.76,01 February 2001,01 March 2001,Rebalance(F)
4,IDBI,31.53,30.60,1585,-1474.05,01 February 2001,01 March 2001,Rebalance(F)
5,TATAPOWER,11.31,14.42,4420,13746.20,01 February 2001,01 March 2001,Rebalance(F)
6,ITC,18.79,15.96,2660,-7527.80,01 February 2001,01 March 2001,Rebalance(F)
7,UFLEX,34.15,36.25,1464,3074.40,01 February 2001,01 March 2001,Rebalance(F)
8,RAYMOND,128.05,139.30,390,4387.50,01 February 2001,01 March 2001,Rebalance(F)
9,HDFC,55.52,59.85,900,3897.00,01 February 2001,01 March 2001,Rebalance(F)
10,SCI,22.48,28.65,2224,13722.08,01 February 2001,01 March 2001,Rebalance(F)
11,ASTRAZEN,91.84,96.04,544,2284.80,01 February 2001,01 March 2001,Rebalance(F)
12,SHRENUJ,5.58,5.20,8968,-3407.84,01 February 2001,01 March 2001,Rebalance(F)
13,ESABINDIA,63.30,66.85,789,2800.95,01 February 2001,01 March 2001,Rebalance(F)
14,HEG,6.21,6.01,8051,-1610.20,01 February 2001,01 March 2001,Rebalance(F)
15,MAHSEAMLES,7.01,5.01,7137,-14274.00,01 February 2001,01 March 2001,Rebalance(F)
16,JINDALSAW,16.37,21.72,3054,16338.90,01 February 2001,01 March 2001,Rebalance(F)
17,PANACEABIO,41.73,58.57,1198,20174.32,01 February 2001,01 March 2001,Rebalance(F)
18,GESHIP,21.55,22.54,2320,2296.80,01 February 2001,01 March 2001,Rebalance(F)
20,HINDZINC,2.20,2.45,22727,5681.75,01 February 2001,01 March 2001,Rebalance(F)
21,BPCL,16.66,15.94,3197,-2291.29,02 May 2001,01 June 2001,Rebalance(F)
22,EIHOTEL,26.03,27.79,2046,3600.96,02 May 2001,01 June 2001,Rebalance(F)
23,NATIONALUM,10.88,11.00,4896,587.52,02 May 2001,01 June 2001,Rebalance(F)
24,TATAPOWER,12.16,14.43,4380,9942.60,02 May 2001,01 June 2001,Rebalance(F)
25,HINDPETRO,25.67,24.21,2075,-3012.62,02 May 2001,01 June 2001,Rebalance(F)
26,ITC,17.61,16.24,3025,-4144.25,02 May 2001,01 June 2001,Rebalance(F)
27,SUNPHARMA,13.73,14.90,3880,4520.20,02 May 2001,01 June 2001,Rebalance(F)
28,LICHSGFIN,6.91,7.95,7709,8017.36,02 May 2001,01 June 2001,Rebalance(F)
29,ABAN,6.88,7.33,7743,3484.35,02 May 2001,01 June 2001,Rebalance(F)
30,VSTIND,10.14,11.38,5255,6544.86,02 May 2001,01 June 2001,Rebalance(F)
31,SCI,26.61,28.11,2001,3001.50,02 May 2001,01 June 2001,Rebalance(F)
32,CORPBANK,24.18,26.92,2203,6036.22,02 May 2001,01 June 2001,Rebalance(F)
33,ASTRAZEN,75.00,81.20,710,4402.00,02 May 2001,01 June 2001,Rebalance(F)
34,ABIRLANUVO,81.81,79.28,651,-1647.03,02 May 2001,01 June 2001,Rebalance(F)
35,MAHSEAMLES,6.21,5.07,8578,-9778.92,02 May 2001,01 June 2001,Rebalance(F)
36,GESHIP,21.42,21.15,2487,-671.49,02 May 2001,01 June 2001,Rebalance(F)
37,COLPAL,88.73,85.25,600,-2085.00,02 May 2001,01 June 2001,Rebalance(F)
39,HINDZINC,2.03,2.06,26242,787.26,02 May 2001,01 June 2001,Rebalance(F)
40,CENTAKCHEM,193.00,194.50,276,414.00,02 May 2001,01 June 2001,Rebalance(F)
41,CASTROLIND,31.72,23.74,1723,-13753.85,01 November 2001,20 November 2001,Stop Loss
42,HINDZINC,2.09,1.90,26152,-4968.88,01 November 2001,03 December 2001,Rebalance
43,BANKINDIA,16.90,15.25,3234,-5336.10,01 November 2001,01 January 2002,Rebalance(F)
44,DRREDDY,108.22,92.57,505,-7903.25,01 November 2001,01 January 2002,Rebalance(F)
45,ASHOKLEY,4.24,3.47,10701,-8239.77,03 December 2001,01 January 2002,Rebalance(F)
46,BPCL,14.43,16.02,3789,6030.76,01 November 2001,01 January 2002,Rebalance(F)
47,FINPIPE,5.30,5.94,10312,6599.68,01 November 2001,01 January 2002,Rebalance(F)
48,TATAPOWER,11.39,11.91,4798,2494.96,01 November 2001,01 January 2002,Rebalance(F)
49,LICHSGFIN,7.75,8.79,7052,7334.08,01 November 2001,01 January 2002,Rebalance(F)
50,KANSAINER,1.76,1.76,31067,20.71,01 November 2001,01 January 2002,Rebalance(F)
51,ABAN,7.40,7.62,7386,1624.92,01 November 2001,01 January 2002,Rebalance(F)
52,VSTIND,13.70,14.55,3988,3353.55,05 November 2001,01 January 2002,Rebalance(F)
53,HDFC,70.03,65.94,780,-3190.20,01 November 2001,01 January 2002,Rebalance(F)
54,CORPBANK,25.20,25.42,2168,476.96,01 November 2001,01 January 2002,Rebalance(F)
55,VOLTAS,4.45,4.70,12282,3070.50,01 November 2001,01 January 2002,Rebalance(F)
56,CENTENKA,61.00,57.25,896,-3360.00,05 November 2001,01 January 2002,Rebalance(F)
57,HINDOILEXP,16.17,15.73,3380,-1487.20,01 November 2001,01 January 2002,Rebalance(F)
58,DCW,1.68,1.42,27008,-7022.08,03 December 2001,01 January 2002,Rebalance(F)
59,GARDENSILK,14.00,11.75,3904,-8784.00,01 November 2001,01 January 2002,Rebalance(F)
60,FOSECOIND,165.05,90.30,331,-24742.25,01 November 2001,01 January 2002,Rebalance(F)
61,MADURACOAT,19.75,21.50,2767,4842.25,01 November 2001,01 January 2002,Rebalance(F)
62,SPECIALSTL,26.50,25.45,2062,-2165.10,01 November 2001,01 January 2002,Rebalance(F)
63,GARDENSILK,13.75,13.35,3774,-1509.60,01 February 2002,01 March 2002,Rebalance
64,VSTIND,13.92,14.35,3729,1627.20,01 February 2002,04 March 2002,Rebalance
65,MAHSCOOTER,43.35,38.05,1197,-6344.10,01 February 2002,01 March 2002,Rebalance
66,SPECIALSTL,26.40,25.80,1966,-1179.60,01 February 2002,01 April 2002,Rebalance
67,FINPIPE,6.20,5.71,8371,-4101.79,01 February 2002,01 April 2002,Rebalance
68,BAJFINANCE,3.71,4.34,13978,8736.25,01 February 2002,01 April 2002,Rebalance
69,UCAL,36.88,36.53,1407,-492.45,01 February 2002,01 April 2002,Rebalance
70,GODAVRFERT,13.15,13.00,3946,-591.90,01 February 2002,01 April 2002,Rebalance
71,DRREDDY,93.80,99.93,553,3389.89,01 February 2002,02 May 2002,Rebalance(F)
72,ENGINERSIN,25.64,26.50,2042,1756.12,01 April 2002,02 May 2002,Rebalance(F)
73,CRISIL,31.26,35.02,1675,6298.00,01 April 2002,02 May 2002,Rebalance(F)
74,CONCOR,24.71,32.84,2100,17073.42,01 February 2002,02 May 2002,Rebalance(F)
75,BEL,1.23,1.93,42325,29670.25,01 February 2002,02 May 2002,Rebalance(F)
76,BPCL,19.48,24.71,2665,13957.94,01 February 2002,02 May 2002,Rebalance(F)
77,NLCINDIA,12.70,23.40,4086,43720.20,01 February 2002,02 May 2002,Rebalance(F)
78,LICHSGFIN,11.04,14.75,4701,17440.71,01 February 2002,02 May 2002,Rebalance(F)
79,HEROMOTOCO,217.40,254.05,238,8722.70,01 February 2002,02 May 2002,Rebalance(F)
80,KANSAINER,2.15,2.96,24103,19346.68,01 February 2002,02 May 2002,Rebalance(F)
81,SCI,48.39,55.06,1082,7216.94,01 April 2002,02 May 2002,Rebalance(F)
82,GMDCLTD,6.35,9.38,7867,23837.01,01 March 2002,02 May 2002,Rebalance(F)
83,J&KBANK,7.14,8.97,7001,12846.84,01 March 2002,02 May 2002,Rebalance(F)
84,GEOMETRIC,44.35,54.27,1180,11705.60,01 April 2002,02 May 2002,Rebalance(F)
85,HINDOILEXP,20.42,27.03,2541,16796.01,01 February 2002,02 May 2002,Rebalance(F)
86,CMC,312.42,359.83,167,7917.47,01 April 2002,02 May 2002,Rebalance(F)
87,STERLINBIO,15.18,14.60,3419,-1983.02,01 February 2002,02 May 2002,Rebalance(F)
88,INGVYSYABK,67.60,78.36,739,7951.64,01 March 2002,02 May 2002,Rebalance(F)
89,INVELTRANS,53.70,54.00,966,289.80,01 February 2002,02 May 2002,Rebalance(F)
90,PUNANDLAMP,92.20,96.20,562,2248.00,05 February 2002,30 April 2002,Rebalance(F)
