Stock Name,Entry date,Entry price,Entry Amount,Quantity,Exit date,Exit price,Exit amount,PNL,ST/LT,Tax,Corpus available
ARE&M,01-Feb-01,16.16,49999.04,3094,01-Mar-01,20.27,62715.38,12716.34,ST,1646.39,1052388.86
EIHOTEL,01-Feb-01,24.62,49978.6,2030,01-Mar-01,24.63,49998.9,20.3,ST,2.63,1052388.86
AXISBANK,01-Feb-01,8.67,49999.89,5767,01-Mar-01,7.39,42618.13,-7381.76,ST,0.0,1052388.86
IDBI,01-Feb-01,31.53,49975.05,1585,01-Mar-01,30.6,48501.0,-1474.05,ST,0.0,1052388.86
TATAPOWER,01-Feb-01,11.31,50001.51,4421,01-Mar-01,14.42,63750.82,13749.31,ST,1780.13,1052388.86
ITC,01-Feb-01,18.79,50000.19,2661,01-Mar-01,15.96,42469.56,-7530.63,ST,0.0,1052388.86
UFLEX,01-Feb-01,34.15,49995.6,1464,01-Mar-01,36.25,53070.0,3074.4,ST,398.04,1052388.86
RAYMOND,01-Feb-01,128.05,49939.5,390,01-Mar-01,139.3,54327.0,4387.5,ST,568.05,1052388.86
HDFC,01-Feb-01,55.52,49968.0,900,01-Mar-01,59.85,53865.0,3897.0,ST,504.55,1052388.86
SCI,01-Feb-01,22.48,49995.52,2224,01-Mar-01,28.65,63717.6,13722.08,ST,1776.6,1052388.86
ASTRAZEN,01-Feb-01,91.84,49960.96,544,01-Mar-01,96.04,52245.76,2284.8,ST,295.81,1052388.86
SHRENUJ,01-Feb-01,5.58,50019.12,8964,01-Mar-01,5.2,46612.8,-3406.32,ST,0.0,1052388.86
ESABINDIA,01-Feb-01,63.3,50007.0,790,01-Mar-01,66.85,52811.5,2804.5,ST,363.1,1052388.86
HEG,01-Feb-01,6.21,50021.55,8055,01-Mar-01,6.01,48410.55,-1611.0,ST,0.0,1052388.86
MAHSEAMLES,01-Feb-01,7.01,50016.35,7135,01-Mar-01,5.01,35746.35,-14270.0,ST,0.0,1052388.86
JINDALSAW,01-Feb-01,16.37,50010.35,3055,01-Mar-01,21.72,66354.6,16344.25,ST,2116.1,1052388.86
PANACEABIO,01-Feb-01,41.73,49992.54,1198,01-Mar-01,58.57,70166.86,20174.32,ST,2611.98,1052388.86
GESHIP,01-Feb-01,21.55,50039.1,2322,01-Mar-01,22.54,52337.88,2298.78,ST,297.62,1052388.86
HINDZINC,01-Feb-01,2.2,50039.0,22745,01-Mar-01,2.45,55725.25,5686.25,ST,736.2,1052388.86
BPCL,02-May-01,16.66,52612.28,3158,01-Jun-01,15.94,50338.52,-2273.76,ST,0.0,1074247.55
EIHOTEL,02-May-01,26.03,52606.63,2021,01-Jun-01,27.79,56163.59,3556.96,ST,383.39,1074247.55
NATIONALUM,02-May-01,10.88,52615.68,4836,01-Jun-01,11.0,53196.0,580.32,ST,62.55,1074247.55
TATAPOWER,02-May-01,12.16,52616.32,4327,01-Jun-01,14.43,62438.61,9822.29,ST,1058.72,1074247.55
HINDPETRO,02-May-01,25.67,52597.83,2049,01-Jun-01,24.21,49606.29,-2991.54,ST,0.0,1074247.55
ITC,02-May-01,17.61,52618.68,2988,01-Jun-01,16.24,48525.12,-4093.56,ST,0.0,1074247.55
SUNPHARMA,02-May-01,13.73,52613.36,3832,01-Jun-01,14.9,57096.8,4483.44,ST,483.26,1074247.55
LICHSGFIN,02-May-01,6.91,52619.65,7615,01-Jun-01,7.95,60539.25,7919.6,ST,853.63,1074247.55
ABAN,02-May-01,6.88,52618.24,7648,01-Jun-01,7.33,56059.84,3441.6,ST,370.96,1074247.55
VSTIND,02-May-01,10.14,52616.46,5189,01-Jun-01,11.38,59050.82,6434.36,ST,693.54,1074247.55
SCI,02-May-01,26.61,52607.97,1977,01-Jun-01,28.11,55573.47,2965.5,ST,319.64,1074247.55
CORPBANK,02-May-01,24.18,52615.68,2176,01-Jun-01,26.92,58577.92,5962.24,ST,642.65,1074247.55
ASTRAZEN,02-May-01,75.0,52575.0,701,01-Jun-01,81.2,56921.2,4346.2,ST,468.47,1074247.55
ABIRLANUVO,02-May-01,81.81,52603.83,643,01-Jun-01,79.28,50977.04,-1626.79,ST,0.0,1074247.55
MAHSEAMLES,02-May-01,6.21,52635.96,8476,01-Jun-01,5.07,42973.32,-9662.64,ST,0.0,1074247.55
GESHIP,02-May-01,21.42,52628.94,2457,01-Jun-01,21.15,51965.55,-663.39,ST,0.0,1074247.55
COLPAL,02-May-01,88.73,52616.89,593,01-Jun-01,85.25,50553.25,-2063.64,ST,0.0,1074247.55
HINDZINC,02-May-01,2.03,52656.17,25939,01-Jun-01,2.06,53434.34,778.17,ST,83.88,1074247.55
CENTAKCHEM,02-May-01,193.0,52496.0,272,01-Jun-01,194.5,52904.0,408.0,ST,43.98,1074247.55
CASTROLIND,01-Nov-01,31.72,53701.96,1693,20-Nov-01,23.74,40191.82,-13510.14,ST,0.0,40214.83
HINDZINC,01-Nov-01,2.09,53710.91,25699,03-Dec-01,1.9,48828.1,-4882.81,ST,0.0,1.25
BANKINDIA,01-Nov-01,16.9,53708.2,3178,01-Jan-02,15.25,48464.5,-5243.7,ST,0.0,1020160.0
DRREDDY,01-Nov-01,108.22,53677.12,496,01-Jan-02,92.57,45914.72,-7762.4,ST,0.0,1020160.0
BPCL,01-Nov-01,14.43,53708.46,3722,01-Jan-02,16.02,59626.44,5917.98,ST,0.0,1020160.0
FINPIPE,01-Nov-01,5.3,53715.5,10135,01-Jan-02,5.94,60201.9,6486.4,ST,0.0,1020160.0
TATAPOWER,01-Nov-01,11.39,53715.24,4716,01-Jan-02,11.91,56167.56,2452.32,ST,0.0,1020160.0
LICHSGFIN,01-Nov-01,7.75,53715.25,6931,01-Jan-02,8.79,60923.49,7208.24,ST,0.0,1020160.0
KANSAINER,01-Nov-01,1.76,53715.2,30520,01-Jan-02,1.76,53715.2,0.0,ST,0.0,1020160.0
ABAN,01-Nov-01,7.4,53709.2,7258,01-Jan-02,7.62,55305.96,1596.76,ST,0.0,1020160.0
HDFC,01-Nov-01,70.03,53713.01,767,01-Jan-02,65.94,50575.98,-3137.03,ST,0.0,1020160.0
CORPBANK,01-Nov-01,25.2,53701.2,2131,01-Jan-02,25.42,54170.02,468.82,ST,0.0,1020160.0
VOLTAS,01-Nov-01,4.45,53715.95,12071,01-Jan-02,4.7,56733.7,3017.75,ST,0.0,1020160.0
HINDOILEXP,01-Nov-01,16.17,53716.74,3322,01-Jan-02,15.73,52255.06,-1461.68,ST,0.0,1020160.0
GARDENSILK,01-Nov-01,14.0,53718.0,3837,01-Jan-02,11.75,45084.75,-8633.25,ST,0.0,1020160.0
FOSECOIND,01-Nov-01,165.05,53641.25,325,01-Jan-02,90.3,29347.5,-24293.75,ST,0.0,1020160.0
MADURACOAT,01-Nov-01,19.75,53739.75,2721,01-Jan-02,21.5,58501.5,4761.75,ST,0.0,1020160.0
SPECIALSTL,01-Nov-01,26.5,53715.5,2027,01-Jan-02,25.45,51587.15,-2128.35,ST,0.0,1020160.0
VSTIND,05-Nov-01,13.7,53745.1,3923,01-Jan-02,14.55,57079.65,3334.55,ST,0.0,1020160.0
CENTENKA,05-Nov-01,61.0,53741.0,881,01-Jan-02,57.25,50437.25,-3303.75,ST,0.0,1020160.0
ASHOKLEY,03-Dec-01,4.24,44520.0,10500,01-Jan-02,3.47,36435.0,-8085.0,ST,0.0,1020160.0
DCW,03-Dec-01,1.68,44521.68,26501,01-Jan-02,1.42,37631.42,-6890.26,ST,0.0,1020160.0
GARDENSILK,01-Feb-02,13.75,50998.75,3709,01-Mar-02,13.35,49515.15,-1483.6,ST,0.0,1.78
MAHSCOOTER,01-Feb-02,43.35,50979.6,1176,01-Mar-02,38.05,44746.8,-6232.8,ST,0.0,1.78
VSTIND,01-Feb-02,13.92,51002.88,3664,04-Mar-02,14.35,52578.4,1575.52,ST,315.1,52265.08
SPECIALSTL,01-Feb-02,26.4,51004.8,1932,01-Apr-02,25.8,49845.6,-1159.2,ST,0.0,51552.16
FINPIPE,01-Feb-02,6.2,51007.4,8227,01-Apr-02,5.71,46976.17,-4031.23,ST,0.0,51552.16
BAJFINANCE,01-Feb-02,3.71,51008.79,13749,01-Apr-02,4.34,59670.66,8661.87,ST,481.11,51552.16
UCAL,01-Feb-02,36.88,51005.04,1383,01-Apr-02,36.53,50520.99,-484.05,ST,0.0,51552.16
GODAVRFERT,01-Feb-02,13.15,51008.85,3879,01-Apr-02,13.0,50427.0,-581.85,ST,0.0,51552.16
PUNANDLAMP,05-Feb-02,92.2,51078.8,554,30-Apr-02,96.2,53294.8,2216.0,ST,443.2,104403.76
DRREDDY,01-Feb-02,93.8,50933.4,543,02-May-02,99.93,54261.99,3328.59,ST,660.23,1205073.73
CONCOR,01-Feb-02,24.71,51001.44,2064,02-May-02,32.84,67781.76,16780.32,ST,3328.39,1205073.73
BEL,01-Feb-02,1.23,51020.4,41480,02-May-02,1.93,80056.4,29036.0,ST,5759.31,1205073.73
BPCL,01-Feb-02,19.48,51018.12,2619,02-May-02,24.71,64715.49,13697.37,ST,2716.88,1205073.73
NLCINDIA,01-Feb-02,12.7,51015.9,4017,02-May-02,23.4,93997.8,42981.9,ST,8525.49,1205073.73
LICHSGFIN,01-Feb-02,11.04,51015.84,4621,02-May-02,14.75,68159.75,17143.91,ST,3400.51,1205073.73
HEROMOTOCO,01-Feb-02,217.4,50871.6,234,02-May-02,254.05,59447.7,8576.1,ST,1701.08,1205073.73
KANSAINER,01-Feb-02,2.15,51051.75,23745,02-May-02,2.96,70285.2,19233.45,ST,3814.97,1205073.73
HINDOILEXP,01-Feb-02,20.42,51050.0,2500,02-May-02,27.03,67575.0,16525.0,ST,3277.75,1205073.73
STERLINBIO,01-Feb-02,15.18,51050.34,3363,02-May-02,14.6,49099.8,-1950.54,ST,0.0,1205073.73
INVELTRANS,01-Feb-02,53.7,51015.0,950,02-May-02,54.0,51300.0,285.0,ST,56.53,1205073.73
GMDCLTD,01-Mar-02,6.35,47136.05,7423,02-May-02,9.38,69627.74,22491.69,ST,4461.24,1205073.73
J&KBANK,01-Mar-02,7.14,47145.42,6603,02-May-02,8.97,59228.91,12083.49,ST,2396.77,1205073.73
ENGINERSIN,01-Apr-02,25.64,51536.4,2010,02-May-02,26.5,53265.0,1728.6,ST,342.87,1205073.73
CRISIL,01-Apr-02,31.26,51516.48,1648,02-May-02,35.02,57712.96,6196.48,ST,1229.08,1205073.73
SCI,01-Apr-02,48.39,51535.35,1065,02-May-02,55.06,58638.9,7103.55,ST,1408.99,1205073.73
GEOMETRIC,01-Apr-02,44.35,51534.7,1162,02-May-02,54.27,63061.74,11527.04,ST,2286.4,1205073.73
CMC,01-Apr-02,312.42,51549.3,165,02-May-02,359.83,59371.95,7822.65,ST,1551.63,1205073.73
BANKINDIA,01-Jul-02,35.25,60242.25,1709,01-Aug-02,27.35,46741.15,-13501.1,ST,0.0,1013095.5
ENGINERSIN,01-Jul-02,32.93,60228.97,1829,01-Aug-02,25.97,47499.13,-12729.84,ST,0.0,1013095.5
CRISIL,01-Jul-02,31.63,60255.15,1905,01-Aug-02,26.9,51244.5,-9010.65,ST,0.0,1013095.5
BEL,01-Jul-02,2.15,60253.75,28025,01-Aug-02,1.88,52687.0,-7566.75,ST,0.0,1013095.5
NLCINDIA,01-Jul-02,32.4,60231.6,1859,01-Aug-02,26.25,48798.75,-11432.85,ST,0.0,1013095.5
RCF,01-Jul-02,32.8,60253.6,1837,01-Aug-02,22.9,42067.3,-18186.3,ST,0.0,1013095.5
LICHSGFIN,01-Jul-02,16.99,60246.54,3546,01-Aug-02,14.43,51168.78,-9077.76,ST,0.0,1013095.5
HEROMOTOCO,01-Jul-02,212.35,60095.05,283,01-Aug-02,162.8,46072.4,-14022.65,ST,0.0,1013095.5
KANSAINER,01-Jul-02,2.67,60269.91,22573,01-Aug-02,2.59,58464.07,-1805.84,ST,0.0,1013095.5
BEML,01-Jul-02,110.8,60164.4,543,01-Aug-02,69.45,37711.35,-22453.05,ST,0.0,1013095.5
ABAN,01-Jul-02,23.38,60273.64,2578,01-Aug-02,20.59,53081.02,-7192.62,ST,0.0,1013095.5
GEOMETRIC,01-Jul-02,46.56,60248.64,1294,01-Aug-02,32.34,41847.96,-18400.68,ST,0.0,1013095.5
ELECTCAST,01-Jul-02,28.58,60275.22,2109,01-Aug-02,32.03,67551.27,7276.05,ST,0.0,1013095.5
HEUBACHIND,01-Jul-02,202.25,60270.5,298,01-Aug-02,202.9,60464.2,193.7,ST,0.0,1013095.5
HCC,01-Jul-02,4.48,60291.84,13458,01-Aug-02,3.52,47372.16,-12919.68,ST,0.0,1013095.5
MAHSEAMLES,01-Jul-02,18.8,60291.6,3207,01-Aug-02,17.52,56186.64,-4104.96,ST,0.0,1013095.5
